#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
0.53243 0.91440 -0.02791 
0.53241 0.91440 -0.02813 
0.53239 0.91440 -0.02835 
0.53238 0.91440 -0.02858 
0.53166 0.91440 -0.02863 
0.53051 0.91440 -0.02871 
0.52867 0.91440 -0.02883 
0.52572 0.91440 -0.02903 
0.52100 0.91440 -0.02935 
0.51345 0.91440 -0.02984 
0.50524 0.91440 -0.03035 
0.49702 0.91440 -0.03085 
0.48880 0.91440 -0.03133 
0.48058 0.91440 -0.03179 
0.47236 0.91440 -0.03223 
0.46413 0.91440 -0.03265 
0.45591 0.91440 -0.03305 
0.44769 0.91440 -0.03344 
0.43946 0.91440 -0.03381 
0.43124 0.91440 -0.03417 
0.42301 0.91440 -0.03450 
0.41478 0.91440 -0.03482 
0.40656 0.91440 -0.03513 
0.39833 0.91440 -0.03542 
0.39010 0.91440 -0.03569 
0.38187 0.91440 -0.03594 
0.37364 0.91440 -0.03618 
0.36541 0.91440 -0.03640 
0.35718 0.91440 -0.03660 
0.34895 0.91440 -0.03678 
0.34072 0.91440 -0.03695 
0.33249 0.91440 -0.03709 
0.32425 0.91440 -0.03722 
0.31602 0.91440 -0.03733 
0.30779 0.91440 -0.03741 
0.29956 0.91440 -0.03747 
0.29132 0.91440 -0.03751 
0.28309 0.91440 -0.03753 
0.27486 0.91440 -0.03752 
0.26662 0.91440 -0.03749 
0.25839 0.91440 -0.03742 
0.25016 0.91440 -0.03733 
0.24193 0.91440 -0.03721 
0.23369 0.91440 -0.03706 
0.22546 0.91440 -0.03687 
0.21723 0.91440 -0.03665 
0.20900 0.91440 -0.03639 
0.20078 0.91440 -0.03609 
0.19255 0.91440 -0.03576 
0.18433 0.91440 -0.03537 
0.17610 0.91440 -0.03494 
0.16820 0.91440 -0.03448 
0.16067 0.91440 -0.03400 
0.15350 0.91440 -0.03349 
0.14668 0.91440 -0.03297 
0.14019 0.91440 -0.03243 
0.13400 0.91440 -0.03188 
0.12812 0.91440 -0.03132 
0.12252 0.91440 -0.03075 
0.11719 0.91440 -0.03017 
0.11212 0.91440 -0.02959 
0.10729 0.91440 -0.02901 
0.10270 0.91440 -0.02842 
0.09832 0.91440 -0.02783 
0.09416 0.91440 -0.02725 
0.09021 0.91440 -0.02667 
0.08644 0.91440 -0.02609 
0.08262 0.91440 -0.02547 
0.07881 0.91440 -0.02483 
0.07500 0.91440 -0.02417 
0.07120 0.91440 -0.02347 
0.06740 0.91440 -0.02274 
0.06361 0.91440 -0.02197 
0.05982 0.91440 -0.02178 
0.05628 0.91440 -0.02355 
0.05175 0.91440 -0.02470 
0.04727 0.91440 -0.02387 
0.04337 0.91440 -0.02304 
0.03952 0.91440 -0.02202 
0.03570 0.91440 -0.02092 
0.03189 0.91440 -0.01973 
0.02810 0.91440 -0.01845 
0.02432 0.91440 -0.01704 
0.02057 0.91440 -0.01548 
0.01685 0.91440 -0.01375 
0.01319 0.91440 -0.01180 
0.00962 0.91440 -0.00957 
0.00620 0.91440 -0.00702 
0.00298 0.91440 -0.00411 
0.00052 0.91440 -0.00133 
-0.00127 0.91440 0.00098 
-0.00296 0.91440 0.00280 
-0.00478 0.91440 0.00483 
-0.00651 0.91440 0.00764 
-0.00760 0.91440 0.01124 
-0.00762 0.91440 0.01594 
-0.00501 0.91440 0.02130 
0.00140 0.91440 0.02585 
0.00763 0.91440 0.02341 
0.01059 0.91440 0.02051 
0.01410 0.91440 0.02208 
0.01771 0.91440 0.02342 
0.02138 0.91440 0.02458 
0.02509 0.91440 0.02559 
0.02883 0.91440 0.02649 
0.03260 0.91440 0.02728 
0.03638 0.91440 0.02798 
0.04018 0.91440 0.02861 
0.04399 0.91440 0.02917 
0.04780 0.91440 0.02967 
0.05163 0.91440 0.03012 
0.05545 0.91440 0.03052 
0.05929 0.91440 0.03087 
0.06312 0.91440 0.03117 
